Urchin_metamorphosis.csv,Block,Number,Jar,Start_time,Start_date,Type,Treated_species,Species_gen_code,Cor_type,Species_genetic_only,Species_genetic,Morpho_species,Genus,Species_code,Recorder,Date,Time_period,Time,Coralline_area,Meta_coralline,Meta_jar,Meta_undergoing,Free_swimming,Notes,Total_urchins,Swabbing
top,E,7,E07,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE07,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Danielle Lacasse,2021-02-28,24hrs,11:36,3.297,3,4,2,9,,18,
top,E,7,E07,10:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinE07,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-03-01,48hrs,12:30,3.297,4,6,4,2,,16,
middle,G,13,G13,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG13,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Nathan Duifhuis,2021-02-28,24hrs,12:47,2.803,2,3,3,6,,14,
middle,G,13,G13,10:35:00 AM,2021-02-27,Untreated,yes,BAT-urchinG13,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-03-01,48hrs,14:22,2.803,2,9,2,4,,17,
bottom,O,10,O10,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO10,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Danielle Lacasse,2021-02-28,24hrs,15:10,3.943,2,0,2,13,,17,
bottom,O,10,O10,11:22:00 AM,2021-02-27,Untreated,yes,BAT-urchinO10,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-03-01,48hrs,17:08,3.943,2,0,2,13,,17,
top,A,7,A07,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA07,Crustose Coralline,NA,,Crusticorallina sp1,Crusticorallina,Crust1,Tereno Johson,2021-02-28,24hrs,10:08,2.941,4,0,5,7,,16,
top,A,7,A07,9:40:00 AM,2021-02-27,Untreated,yes,BAT-urchinA07,Crustose Coralline,NA,,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-03-01,48hrs,9:49,2.941,3,1,3,12,,19,
top,C,10,C10,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC10,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Brenton Twist,2021-02-28,24hrs,11:01,3.738,3,5,4,6,,18,
top,C,10,C10,10:08:00 AM,2021-02-27,Untreated,yes,BAT-urchinC10,Crustose Coralline,Crusticorallina painei,Crusticorallina painei,Crusticorallina sp1,Crusticorallina,Crust1,Tereno Johson,2021-03-01,48hrs,10:52,3.738,2,6,2,7,,17,
